id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,category,inasuit,suit,animated,pose,img
H1,Nikki's Pinky,hair,hair,2,,S,,A,,A,,A,A,,,,,,,FALSE,,FALSE,FALSE,
H4,Sporty Teenager,hair,hair,3,,S,,A,,A,,S,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H5,Untamed Heart,hair,hair,3,,S,,A,,A,,A,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H6,Rising Star,hair,hair,3,,A,,S,,S,,B,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H7,Elegant Nobleman,hair,hair,2,,B,,A,,S,,B,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H8,Brother Next Door,hair,hair,2,,S,,S,A,,,C,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H9,Snow Wolf,hair,hair,2,A,,A,,C,,S,,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H10,Perfect Senior,hair,hair,2,,S,,B,,A,,A,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H11,Mysterious Guest,hair,hair,2,,S,A,,A,,,A,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H12,Fantasy Emissary,hair,hair,2,,S,,S,,A,,C,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H13,Scientist,hair,hair,2,,S,B,,,A,,C,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H14,Coffee Shop Owner,hair,hair,2,,S,S,,,A,,C,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H16,Silver-wings Hero,hair,hair,3,A,,,S,S,,A,,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H17,Shallow Laziness,hair,hair,3,,A,B,,,S,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H18,Golden Glow,hair,hair,3,A,,,A,,S,A,,,A,,,,,,FALSE,,FALSE,FALSE,
H19,Wine Red,hair,hair,3,S,,C,,,S,A,,,S,,,,,,FALSE,,FALSE,FALSE,
H20,Pinky-white Curls,hair,hair,5,SS,,,S,,A,B,,SS,,,,,,,FALSE,,FALSE,FALSE,
H21,Golden-beige Curls,hair,hair,5,S,,S,,,A,,A,S,,,,,,,FALSE,,FALSE,FALSE,
H22,Dark-blue Curls,hair,hair,5,S,,S,,S,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H23,Teddy Bear·Brown,hair,hair,3,,A,,S,,A,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H24,Teddy Bear·Pink,hair,hair,3,,A,,S,,A,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H25,Teddy Bear·Black,hair,hair,3,,A,A,,A,,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H26,Floating Kite·Blue,hair,hair,5,A,,SS,,SS,,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H27,Floating Kite·Gray,hair,hair,5,S,,SS,,A,,,B,,S,,,,,,FALSE,,FALSE,FALSE,
H28,Floating Kite·White,hair,hair,5,SS,,S,,S,,A,,,S,,,,,,FALSE,,FALSE,FALSE,
