id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,tertiarycolor,category,suit,inasuit,animated,pose,desc
10001,Nikki's Pinky,hair,hair,2,,S,,A,,A,,A,A,,,,Red,Pink,,,,FALSE,FALSE,FALSE,Nikki's favorite hairstyle. It shines wherever she goes!
10004,Sporty Teenager,hair,hair,3,,S,,A,,A,,S,,A,Unisex,,Brown,,,,,FALSE,FALSE,FALSE,He is good at almost every sport. He never quits and he is the symbol of persistence.
10005,Untamed Heart,hair,hair,3,,S,,A,,A,,A,,S,Unisex,,Red,,,,,FALSE,FALSE,FALSE,He is always the center of attention but his eyes seem to gaze aimlessly into the crowds.
10006,Rising Star,hair,hair,3,,A,,S,,S,,B,,S,Unisex,,Brown,,,,,FALSE,FALSE,FALSE,The bright spotlight only follows him and the screaming crowds cry only for him.
10007,Elegant Nobleman,hair,hair,2,,B,,A,,S,,B,,S,Unisex,,Brown,Yellow,,,,FALSE,FALSE,FALSE,"A gentle, thoughtful nobleman is not supposed to be the silent background forever."
10008,Brother Next Door,hair,hair,2,,S,,S,A,,,C,,A,Unisex,,Pink,,,,,FALSE,FALSE,FALSE,"He helps you with homework, looks after your house...Ordinary he may be, but he is irreplaceable."
10009,Snow Wolf,hair,hair,2,A,,A,,C,,S,,,A,Unisex,,White,Silver,,,,FALSE,FALSE,FALSE,No one knows where he is from. Only time will reveal the answer.
10010,Perfect Senior,hair,hair,2,,S,,B,,A,,A,,A,Unisex,,Brown,,,,,FALSE,FALSE,FALSE,"As the straight-A president of the student union, he always rejects the advances of fawning girls."
10011,Mysterious Guest,hair,hair,2,,S,A,,A,,,A,,A,Unisex,,Pink,Purple,,,,FALSE,FALSE,FALSE,He shows up quietly at midnight and leaves without saying goodbye after a hasty encounter.
10012,Fantasy Emissary,hair,hair,2,,S,,S,,A,,C,,S,Unisex,,Brown,White,,,,FALSE,FALSE,FALSE,"With an impulsive character and the ability to control magic, he is both weird and funny."
10013,Scientist,hair,hair,2,,S,B,,,A,,C,,S,Unisex,,Brown,,,,,FALSE,FALSE,FALSE,It seems that this weird man can read minds. You need to be careful of him.
10014,Coffee Shop Owner,hair,hair,2,,S,S,,,A,,C,,A,Unisex,,Red,Pink,,,,FALSE,FALSE,FALSE,"Smelling of coffee, he is like a cup of mellow latte. Everyone wants to have a taste of him."
10016,Silver-wings Hero,hair,hair,3,A,,,S,S,,A,,,S,Unisex,,White,Silver,,,,FALSE,FALSE,FALSE,The boy has become the silver-wings hero in the hearts of the general public.
10017,Shallow Laziness,hair,hair,3,,A,B,,,S,,S,,A,,,Brown,Red,,,,TRUE,FALSE,FALSE,"The cat is enjoying its nap, not caring whether it will ruin the smoothness of her hair."
10018,Golden Glow,hair,hair,3,A,,,A,,S,A,,,A,,,Brown,Orange,,,,TRUE,FALSE,FALSE,The cat will bristle if you take away her favorite food!
10019,Wine Red,hair,hair,3,S,,C,,,S,A,,,S,,,Pink,Red,,Lilith,Tabby Cat,TRUE,FALSE,FALSE,"Wine-red middle-length hair hang down the shoulders, expecting a kind master to comb her gently."
10020,Pinky-white Curls,hair,hair,5,SS,,,S,,A,B,,SS,,,,Red,Pink,,,,FALSE,FALSE,FALSE,"Who says a princess can't be an elf! With a wisp of fantasy, you can follow the maiden's dreams!"
10021,Golden-beige Curls,hair,hair,5,S,,S,,,A,,A,S,,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,"She is like a blooming lily in the Wind Valley, the embodiment of innocence and elegance..."
10022,Dark-blue Curls,hair,hair,5,S,,S,,S,,S,,S,,,,Blue,Pink,,Lilith,Mid-summer Stars,TRUE,FALSE,FALSE,"Handsome, mysterious knight of the summer night. He guards his faith in the name of stars."
10023,Teddy Bear·Brown,hair,hair,3,,A,,S,,A,,S,,A,,,Brown,,,,,FALSE,FALSE,FALSE,A chocolate hairstyle from the teddy bear suit. It suits every girl with a childlike innocence.
10024,Teddy Bear·Pink,hair,hair,3,,A,,S,,A,,S,A,,,,Red,Pink,,,,FALSE,FALSE,FALSE,"A pink hairstyle from the teddy bear suit. Like Nikki's pinky hairstyle, it puts you in a good mood."
10025,Teddy Bear·Black,hair,hair,3,,A,A,,A,,,S,A,,,,Brown,,,Lilith,Marshmallow Teddy,TRUE,FALSE,FALSE,A black hairstyle from the teddy bear suit. Its neat bangs will make you look young and pretty.
10026,Floating Kite·Blue,hair,hair,5,A,,SS,,SS,,S,,,S,,,Blue,Black,,,,FALSE,FALSE,FALSE,A kite elf from the Magical Realm. Its flowing black ribbons have a touch of mystery
10027,Floating Kite·Gray,hair,hair,5,S,,SS,,A,,,B,,S,,,Blue,,,,,FALSE,FALSE,FALSE,A kite elf from the ocean. Its flowing blue ribbons are like shifting waves.
10028,Floating Kite·White,hair,hair,5,SS,,S,,S,,A,,,S,,,Pink,White,,,,FALSE,FALSE,FALSE,A kite elf from the Iceworld. Its pink ribbons are dreamy and sweet.
10029,Floating Kite·Gold,hair,hair,5,S,,A,,,A,,S,,S,,,White,Brown,,Lilith,Divine Kite Elf,TRUE,FALSE,FALSE,A kite elf from the Divine Realm. Its white ribbons and gold hair bring out the best of each other.
10030,Byzantium's Song·Red,hair,hair,3,S,,A,,A,,A,,A,,,,Red,Orange,,,,FALSE,FALSE,FALSE,A medieval girl with her hair covered by a gorgeous and graceful silk yarn.
10031,Byzantium's Song·Yellow,hair,hair,4,S,,S,,S,,,S,A,,,,Yellow,Brown,,,,FALSE,FALSE,FALSE,A devout medieval girl with her hair covered by a solemn and beautiful silk yarn.
